Disease Term,Id,Description
Poliomyelitis,1239,"Poliomyelitis is a viral infectious disease that primarily affects young children, causing symptoms ranging from mild flu-like symptoms to paralysis, which can be fatal."
Glucagonoma,1240,"Glucagonoma is a rare tumor of the pancreatic alpha cells that leads to overproduction of the hormone glucagon, triggering symptoms such as skin lesions, weight loss, anaemia and diabetes."
Foot Deformities,1241,"Foot Deformities refer to conditions where the structure of the foot is altered and misshaped, often resulting in discomfort and impaired function."
Hemophilia B,1242,"A genetic disorder caused by missing or defective Factor IX, a clotting protein, leading to excessive bleeding."
Pancreatic Neoplasms,1243,"These are a type of cancer that starts in the tissues of the pancreas, an organ that aids in digestion and blood sugar regulation."
Hemophilia A,1244,"Hemophilia A is a genetic disorder that impairs the body's ability to make blood clots, leading to excessive bleeding following an injury or surgery."
Intervertebral Disk Degeneration,1245,"It is a condition characterized by the wear and tear of the discs located between the vertebrae of the spine, often leading to pain, stiffness, or other degenerative spinal conditions."
Obsessive-Compulsive Disorder,1246,"Obsessive-compulsive disorder is a mental illness that causes repeated unwanted thoughts or sensations (obsessions) or the urge to do something over and over again (compulsions), creating significant distress and interference with daily functioning."
Cluster Headache,1247,"A neurological disorder marked by severe, recurring pain usually on one side of the head, often accompanied by tearing, nasal congestion, and restlessness."
"Diabetes Insipidus, Neurogenic",1248,"It's a condition where the kidneys are unable to conserve water due to a lack of antidiuretic hormone (ADH), resulting in frequent urination and intense thirst."
Multiple System Atrophy,1249,"Multiple System Atrophy is a rare, progressive neurodegenerative disorder characterized by symptoms of autonomic dysfunction, parkinsonism, and ataxia, demonstrating degeneration in the basal ganglia, cerebellum, and spinal cord."
Nose Neoplasms,1250,"Nose Neoplasms are abnormal growths or tumors, either benign or malignant, arising from the cells and tissues in the nasal cavity."
Pancreatic Diseases,1251,"Pancreatic diseases refer to a group of conditions affecting the pancreas, including pancreatitis (inflammation), cystic fibrosis, pancreatic cancer, and diabetes."
"Glomerulonephritis, IGA",1252,"IGA Glomerulonephritis is a kidney disorder characterized by the deposition of the antibody immunoglobulin A (IgA) in the part of the kidneys that filter waste and toxins, causing inflammation and impact on kidney function."
Celiac Disease,1253,An autoimmune disorder where ingestion of gluten leads to damage in the small intestine.
Infarction,1254,Infarction refers to a condition where tissue death occurs due to inadequate blood supply to the affected area often resulting from an obstruction of the blood vessels supplying it.
Heat Stress Disorders,1255,"Heat stress disorders are conditions caused by prolonged exposure to hot environments or intense physical activity, leading to dehydration and overheating of the body which can result in heat stroke, heat exhaustion, heat cramps, or heat rashes."
Vision Disorders,1256,"These are a group of problems affecting vision that may impair the ability to see clearly, causing problems such as blurred vision, double vision, color blindness, and diseases such as cataracts and glaucoma."
"Depressive Disorder, Major",1257,"Depressive Disorder, Major, often called Major Depression, is a mental health condition marked by an overwhelming feeling of sadness, isolation and despair that affects a person's ability to function normally."
"Anemia, Sideroblastic",1258,"Sideroblastic anemia is a group of blood disorders characterized by an impaired ability of the bone marrow to produce normal red blood cells, in which the iron inside red blood cells is trapped in a ringed form around the nucleus."
Attention Deficit Disorder with Hyperactivity,1259,"This is a neurodevelopmental disorder characterized by persistent patterns of inattention and/or impulsivity and hyperactivity, which interferes with functioning or development."
Retinitis Pigmentosa,1260,A hereditary disease characterized by progressive vision loss due to degeneration of the retina.
Mucolipidoses,1261,"Mucolipidoses is a group of inherited metabolic disorders characterized by the abnormal storage of mucopolysaccharides and lipids in the body's cells, leading to symptoms such as physical disabilities, mental impairment, and a shortened lifespan."
Joint Diseases,1262,"These are conditions causing pain, inflammation, stiffness or damage in the joints, with widespread forms including arthritis, osteoarthritis, rheumatoid arthritis, and gout."
"Mammary Neoplasms, Animal",1263,"These are tumors or cancer primarily found in the mammary glands of animals, particularly prevalent in unspayed female dogs and cats."
Paralysis,1264,"It is a condition marked by loss of muscle function in part of your body, often due to damage in the nervous system, particularly in the spinal cord."
Glomus Tumor,1265,"A Glomus Tumor is a rare, usually benign, neoplasm arising from the glomus body, a thermoregulatory shunt concentrated in the fingers and toes, and it often causes intense pain."
Colorectal Neoplasms,1266,"These are abnormal tissue growths (tumors) occurring in the colon or rectum, which can be benign (polyps) or cancerous (adenocarcinomas)."
"Dermatitis, Atopic",1267,"Atopic Dermatitis is a chronic, itchy skin condition often associated with allergies or asthma and most commonly occurring during childhood."
Primary Myelofibrosis,1268,"Primary Myelofibrosis is a rare bone marrow disorder characterized by the replacement of the bone marrow with fibrous scar tissue, leading to a shortage of blood cells, enlarged spleen and liver, fatigue, and other complications."
"Renal Tubular Transport, Inborn Errors",1269,"These are inherited disorders that affect the kidney's ability to reabsorb certain substances, leading to abnormal levels of acids, salts, and sugars in the urine and blood."
Alopecia Areata,1270,"Alopecia Areata is an autoimmune disorder characterized by unpredictable and often substantial hair loss, typically presenting as round, smooth patches on the scalp."
Wiskott-Aldrich Syndrome,1271,It is a rare genetic disorder characterized by abnormal immune system function and reduced ability to form blood clots.
Addison Disease,1272,"Addison Disease is an endocrine disorder characterized by insufficient production of steroid hormones by the adrenal glands, leading to fatigue, weight loss, low blood pressure, and skin darkening."
Factor VII Deficiency,1273,"This is a rare genetic disorder that impairs the blood clotting process, resulting in easy bruising, nosebleeds, gum bleeding, or abnormal bleeding after injuries or surgeries."
Intestinal Pseudo-Obstruction,1274,"It's a condition marked by symptoms resembling a blockage (obstruction), but when the intestines are examined, no blockage is found and the intestines are not damaged."
Chorea,1275,"Chorea is a neurological disorder characterized by involuntary, irregular, quick, jerky movements primarily affecting the hands, feet and face."
Neurogenic Inflammation,1276,"It's a localized inflammatory response initiated by the nervous system, following injury or infection, causing symptoms such as redness, heat, swelling, and pain."
Aortic Aneurysm,1277,"This is a bulge or enlargement in the aorta, the body's main artery, which can rupture leading to life-threatening bleeding."
Developmental Disabilities,1278,"These are a diverse group of chronic conditions due to mental or physical impairments that arise before adulthood, causing difficulties in areas like language, mobility, learning, and independent living."
Lupus Nephritis,1279,"A severe form of systemic lupus erythematosus, this autoimmune disease primarily affects the kidneys, leading to inflammation and potential kidney failure."
Neuroblastoma,1280,"Neuroblastoma is a type of cancer that starts in certain very early forms of nerve cells found in an embryo or fetus, usually occurring in infants and young children, primarily affecting the adrenal glands."
"Leukoencephalitis, Acute Hemorrhagic",1281,"This is a rare, often fatal, neurological disease characterized by inflammation of the white matter of the brain, leading to severe damage to the myelin sheath and potentially resulting in seizures, fever, and hemorrhage."
"Anemia, Aplastic",1282,"Aplastic Anemia is a rare, potentially fatal condition characterized by bone marrow's inability to produce enough new blood cells, leading to unexplained fatigue, frequent infections, skin hemorrhages, and rapid heartbeat."
"Hearing Loss, High-Frequency",1283,"High-Frequency Hearing Loss is a condition characterized by the deterioration of the ability to hear sounds in the 2,000 to 8,000 Hertz range, commonly affecting understanding of speech and making some high-pitched sounds difficult or impossible to hear."
"Leukodystrophy, Globoid Cell",1284,"Globoid Cell Leukodystrophy, also known as Krabbe Disease, is a rare, inherited degenerative disorder of the nervous system caused by the deficiency of the specific enzyme galactosylceramidase."
Lipomatosis,1285,"Lipomatosis is a medical condition characterized by the growth of multiple benign tumors or lipomas, primarily constituted of fat cells, in the body."
Femur Head Necrosis,1286,Femur Head Necrosis is a condition characterized by a loss of blood supply that leads to the death of bone tissue at the top part of the femur or thighbone.
Bone Marrow Diseases,1287,"These are conditions that affect the function, production or health of the marrow and its components such as red and white blood cells or platelets, with numerous causes ranging from cancer to genetic disorders."
Malformations of Cortical Development,1288,These are brain disorders resulting from abnormal formation or development of the cerebral cortex during early pregnancy.
Keratosis,1289,"Keratosis is a condition characterized by an overgrowth of the horny layer of the skin, causing it to thicken and possibly develop wart-like growths."
"Hepatitis B, Chronic",1290,Chronic Hepatitis B is a long-term infection of the liver caused by a virus that can lead to serious conditions like cirrhosis and liver cancer.
Anorexia Nervosa,1291,"It's a psychological eating disorder characterized by an intense fear of gaining weight, a distorted body image, and self-imposed starvation leading to extreme weight loss."
"Leukoencephalopathy, Progressive Multifocal",1292,Progressive Multifocal Leukoencephalopathy (PML) is a rare and often fatal viral disease characterized by progressive damage or inflammation of the white matter of the brain at multiple locations.
Cartilage Diseases,1293,"These are conditions that involve inflammation, degradation or damage to the flexible connective tissue found in many parts of the body, often leading to pain and limited movement in the affected areas."
"Pain Insensitivity, Congenital",1294,This is a rare genetic disorder that prevents individuals from feeling physical pain from birth.
"Lymphoma, T-Cell, Cutaneous",1295,"This is a type of non-Hodgkin lymphoma that appears on the skin, originating from T-cells, a type of white blood cell."
"Cystadenocarcinoma, Serous",1296,A malignant form of tumor that originates from glandular cells and is characterized by cysts that contain a watery fluid.
Gastrointestinal Diseases,1297,"These are diseases involving the gastrointestinal tract, including the esophagus, stomach, small intestine, large intestine and rectum, and the accessory organs of digestion, the liver, gallbladder, and pancreas."
Myocardial Ischemia,1298,Myocardial Ischemia is a condition characterized by reduced blood flow to the heart muscle due to blocked or narrowed coronary arteries.
Polyps,1299,"Polyps are abnormal tissue growths that most commonly develop in the colon, but can also be found in places like the ear canal, cervix, and nasal passages."
Dermatomyositis,1300,Dermatomyositis is a rare inflammatory disease marked by muscle weakness and a distinctive skin rash.
"Cardiomyopathy, Hypertrophic",1301,"Hypertrophic cardiomyopathy is a hereditary condition marked by abnormal thickening of the heart muscle, potentially restricting normal heart function and leading to heart failure."
Irritable Bowel Syndrome,1302,"A chronic disorder characterized by recurrent abdominal pain, bloating, and irregular bowel habits, including diarrhea and constipation."
Collagen Diseases,1303,"Collagen diseases are a type of disorder that affect the body's connective tissues caused by abnormalities in the production or metabolism of collagen, a protein that provides structural support for many body tissues."
Dermoid Cyst,1304,"A dermoid cyst is a saclike growth present at birth, containing structures such as hair, fluid, teeth, or skin glands that can be located on or in the skin."
Prostatic Diseases,1305,"These are conditions that affect a man's prostate gland and may include inflammation, enlargement, and cancer."
"Anemia, Hypochromic",1306,"Hypochromic Anemia is a condition characterized by abnormally low levels of hemoglobin in the red blood cells, leading to insufficient oxygen transport to the body's tissues."
"Pyruvate Metabolism, Inborn Errors",1307,"This is a group of disorders characterized by a deficiency in pyruvate metabolism, leading to a buildup of lactic acid and various neurological complications."
"Optic Neuropathy, Ischemic",1308,"This is a condition characterized by damage to the optic nerve due to insufficient blood supply, often resulting in visual impairment or blindness."
Xanthomatosis,1309,"Xanthomatosis is a condition characterized by the formation of fatty, yellow nodules (xanthomas) in the skin and other tissues due to the accumulation of fats in macrophage immune cells."
Cerebral Palsy,1310,"Cerebral Palsy is a group of neurological disorders that appear in infancy or early childhood and primarily affect body movement, muscle coordination, and balance."
"Dysautonomia, Familial",1311,"Dysautonomia, Familial is a genetic disorder characterized by an abnormal functioning of the autonomic nervous system, leading to issues with heart rate, blood pressure, breathing, and temperature regulation."
Kidney Diseases,1312,"These are conditions that affect the function and structure of the kidneys, often leading to kidney failure or kidney damage due to issues like high blood pressure, diabetes, and infections."
Dyslipidemias,1313,"Dyslipidemias refer to abnormal amounts of lipids (like cholesterol and/or triglycerides) in the blood, often associated with increased risk of heart disease."
Autoimmune Diseases of the Nervous System,1314,"These are a group of conditions characterized by the body's immune system mistakenly attacking healthy nerve cells, leading to various symptoms like muscle weakness, pain, and motor function issues."
Lymphopenia,1315,"Lymphopenia is a condition characterized by abnormally low levels of lymphocytes, white blood cells that are key to the body's immune response, in the bloodstream."
Sinoatrial Block,1316,"Sinoatrial block is a type of heart rhythm disorder in which the electrical signals generated by the sinoatrial node, the heart's natural pacemaker, are delayed or blocked."
Lipoma,1317,"A lipoma is a benign, slow-growing fatty lump that's most often situated between the skin and the underlying muscle layer."
Optic Nerve Diseases,1318,"Optic nerve diseases encompass conditions leading to damage or disease of the optic nerve, potentially causing vision loss or blindness, either due to inflammation, compression or degeneration."
"Foot Deformities, Congenital",1319,"These are irregularities in the shape or position of the foot, such as clubfoot or flat feet, that exist from birth."
Death,1320,"Death is not a disease but the ultimate, inevitable biological process which involves cessation of all body functions, typically following progressive malfunctioning due to age or disease."
Cholestasis,1321,"Cholestasis is a liver condition characterized by the reduction or stoppage of bile flow, which can lead to jaundice and other complications."
Vitamin B 12 Deficiency,1322,"It is a condition resulting from insufficient amounts of vitamin B12 in the body, leading to anemia, nerve damage, and impaired cognitive function."
Hyaline Membrane Disease,1323,"Hyaline Membrane Disease is a life-threatening respiratory condition mostly occurring in premature infants, characterized by underdeveloped lungs, lack of a natural lung material called surfactant, and formation of protein-rich hyaline membranes that inhibit gas exchange."
"Bulbo-Spinal Atrophy, X-Linked",1324,"This is a degenerative condition marked by muscle weakness, muscle wasting often starting from hands and then to the rest of the body, and other neurological symptoms due to dysfunction of motor neurons in the brain and spinal cord."
"Abortion, Habitual",1325,Habitual Abortion is a condition characterized by repeated pregnancies that end in miscarriage in the first three months.
beta-Thalassemia,1326,"Beta-Thalassemia is a blood disorder that reduces the production of hemoglobin, leading to anemia, fatigue, and more serious complications."
Helicobacter Infections,1327,"Helicobacter infections are caused by Helicobacter pylori bacteria, which can lead to issues like gastritis, ulcers in the stomach or small intestine, and even stomach cancer."
"Hypertension, Portal",1328,"Portal Hypertension is a condition characterized by increased blood pressure within the portal venous system, often a result of liver cirrhosis, which can lead to serious complications like varices and ascites."
"Sarcoma, Synovial",1329,"Synovial Sarcoma is a rare form of cancer that usually occurs near the joints in the arms or legs, taking its name from the synovium, a type of tissue that lines the spaces inside the joints."
Drug-Induced Liver Injury,1330,"This condition results from medications or drugs causing damage to the liver, leading to abnormalities like hepatitis, necrosis, or cholestasis."
"Muscular Atrophy, Spinal",1331,Spinal Muscular Atrophy is a genetic disorder marked by rapidly progressive muscle weakness and atrophy due to loss of motor neurons in the spinal cord and brainstem.
Osteoporosis,1332,"Osteoporosis is a bone disease characterized by decreased bone mass and density, leading to an increased risk of fractures."
Exophthalmos,1333,"Exophthalmos is a medical condition that causes a person's eyes to seem abnormally large or protruded, often associated with hyperthyroidism."
Colonic Neoplasms,1334,"Colonic Neoplasms are abnormal growths in the colon, which can be benign or malignant, with the possibility of developing into colorectal cancer if left untreated."
Hypoplastic Left Heart Syndrome,1335,Hypoplastic Left Heart Syndrome is a birth defect where the left side of the heart is severely underdeveloped.
Diabetic Cardiomyopathies,1336,This is a disease characterized by heart dysfunction and failure due to changes in heart muscle structure and functionality often witnessed in patients with diabetes.
Liver Neoplasms,1337,"These are abnormal growths in the liver, either benign or malignant, that develop when cells in the organ grow out of control."
Osteitis Deformans,1338,"Osteitis Deformans, also known as Paget's disease, is a chronic bone disorder characterized by abnormal and excessive bone remodeling, which may cause bones to weaken and deform."
WAGR Syndrome,1339,"A rare genetic disorder manifesting as Wilms Tumor, Aniridia (absence of the colored part of the eye, the iris), Genitourinary anomalies, and mental Retardation."
Hand Deformities,1340,"These are physical abnormalities in the structure of the hand that are present from birth or develop due to conditions such as arthritis, injury or nerve damage."
Stiff-Person Syndrome,1341,"Stiff-Person Syndrome is a rare, progressive neurological disorder often characterized by stiffness and functional impairment due to painful muscle spasms."
"Genetic Diseases, Inborn",1342,"Inborn genetic diseases are disorders resulting from abnormalities in the genetic makeup of an individual, often inherited from the parents, which can affect almost any part of the body's function."
Malabsorption Syndromes,1343,"These are a group of disorders characterized by the small intestine's inability to absorb enough nutrients and water from the food consumed, leading to malnutrition and weight loss."
Leiomyomatosis,1344,"Leiomyomatosis is a rare condition characterized by proliferation of smooth muscle cells, often presenting in the form of tumors, predominantly in the uterus, but also potentially in other organs within the body."
Listeriosis,1345,"Listeriosis is a serious bacterial infection caused by consuming food contaminated with the bacterium Listeria monocytogenes, resulting in severe symptoms like fever, muscle aches, nausea, and sometimes more serious complications like meningitis or miscarriages in pregnant women."
Deglutition Disorders,1346,Deglutition Disorders refer to conditions that cause troubles with swallowing due to problems primarily in the throat or esophagus.
Maple Syrup Urine Disease,1347,"This is a metabolic disorder where the body is unable to break down certain amino acids, causing a buildup that can result in sweet-smelling urine and potentially severe neurological damage."
Hematuria,1348,"Hematuria is a condition characterized by the presence of blood, specifically red blood cells, in the urine."
Pupil Disorders,1349,"Pupil disorders refer to a range of conditions affecting the size, shape, and reactivity of the pupil, which can result from neurological damage, infection, inflammation, or trauma."
Demyelinating Diseases,1350,"These are conditions characterized by damage to the protective covering (myelin sheath) that surrounds nerve fibers in your brain, optic nerves and spinal cord, leading to neurological problems."
Language Disorders,1351,"Language Disorders are impairments in the ability to understand or express speech, due to issues such as deficits in vocabulary, sentence structure, and discourse."
Sclerosis,1352,Sclerosis is a chronic condition characterized by the abnormal hardening and scarring of body tissues.
Lewy Body Disease,1353,"Lewy Body Disease is a progressive dementia characterized by the presence of abnormal protein deposits, called Lewy Bodies, in the brain, leading to symptoms such as cognitive decline, visual hallucinations, and difficulties with movement."
Microphthalmos,1354,"Microphthalmos is a developmental disorder where one or both eyes are abnormally small and have anatomic malformations, resulting in reduced vision or blindness."
"Elliptocytosis, Hereditary",1355,"Hereditary Elliptocytosis is a genetic disorder characterized by abnormally shaped, elliptical red blood cells, often leading to hemolytic anemia."
Sjogren-Larsson Syndrome,1356,"It's a genetic condition characterized by dry, scaly skin (ichthyosis), intellectual disability, and vision problems leading to spasticity, which is an abnormal increase in muscle tone."
Atrophy,1357,"Atrophy refers to the gradual decline or waste away of a body tissue or organ due to aging, disease, or lack of use."
Leiomyosarcoma,1358,"Leiomyosarcoma is a rare cancer that forms in the smooth muscles often found in the abdomen and uterus, but can also develop in the blood vessels or elsewhere in the body."
Amenorrhea,1359,"Amenorrhea is a condition characterized by the absence of menstrual periods in a woman of reproductive age, either temporarily or permanently."
Liver Failure,1360,"Liver Failure is a life-threatening condition characterized by a rapid loss of liver function leading to high levels of toxins in the blood, yellowing of the skin and eyes, swelling in the legs and abdomen, confusion, and bleeding."
"Acidosis, Renal Tubular",1361,"This is a set of metabolic disorders where the kidneys fail to adequately remove acids from the blood, resulting in an increased acidic concentration."
Hypercalcemia,1362,"Hypercalcemia is a condition characterized by an abnormally high level of calcium in the blood, which can lead to a range of symptoms such as kidney stones, bone pain, and neurological abnormalities."
Otosclerosis,1363,"Otosclerosis is a condition that affects the ear, causing abnormal bone growth in the middle ear, leading to progressive hearing loss."
Hyperalgesia,1364,Hyperalgesia is a condition where a person experiences an increased sensitivity to pain.
Salivary Gland Neoplasms,1365,These are abnormal growths or tumors that form in the tissue of the glands that produce saliva.
Graft vs Host Disease,1366,"It's a complication that might occur after a stem cell or bone marrow transplant, whereby the donated cells attack the recipient's body."
Neurologic Manifestations,1367,"Neurologic Manifestations are not a disease itself, but symptoms that indicate various neurological disorders which can include seizures, muscle weakness, loss of sensation, difficulties in coordination, and alterations in consciousness."
Adenoma,1368,"Adenoma is a noncancerous tumor of glandular tissue, which can occur in various organs and has the potential to become malignant."
"Polyendocrinopathies, Autoimmune",1369,Autoimmune polyendocrinopathies are a group of rare disorders characterized by multiple endocrine glands becoming underactive or failing due to attacks by the body's own immune system.
Adenomatous Polyposis Coli,1370,"Adenomatous Polyposis Coli is an inherited disorder characterized by the onset of hundreds to thousands of polyps in the colon and rectum during the teenage years, which often leads to cancer if the colon is not removed."
"Hearing Loss, Sensorineural",1371,"Sensorineural hearing loss is a type of impairment resulting from damage to the inner ear (cochlea) or nerve pathways from the inner ear to the brain, often leading to difficulty hearing faint sounds or garbled, unclear speech."
Thrombocytopenia,1372,"Thrombocytopenia is a medical condition characterized by an abnormally low level of platelets in the blood, leading to increased risk of bleeding and bruising."
Myotonic Dystrophy,1373,"Myotonic Dystrophy is a genetic disorder characterized by progressive muscle wasting and weakness, often coupled with heart-related complications, endocrine disturbances, cataracts, and cognitive impairment."
"Myasthenic Syndromes, Congenital",1374,These are hereditary disorders characterized by a defect at the neuromuscular junction that causes muscle weakness and fatigability.
Emphysema,1375,"Emphysema is a chronic lung condition characterized by damage to the air sacs (alveoli) in the lungs, leading to shortness of breath and reduced oxygen supply to the body."
Digestive System Neoplasms,1376,These are abnormal growths in the digestive system which can be either benign (non-cancerous) or malignant (cancerous).
Angioedema,1377,"Angioedema is a rapid swelling under the skin caused by an allergic reaction which most commonly affects the eyes, lips, hands, feet, gastrointestinal tract, and throat, leading to potential danger of airway blockage."
Muscle Spasticity,1378,"Muscle Spasticity is a condition characterized by continuous muscle contraction, muscle stiffness, and spasms, often disrupting movement, speech, and gait."
"Leukemia, T-Cell",1379,"T-Cell Leukemia is a rare type of cancer of the white blood cells, characterized by the abnormal growth of T-cells, leading to a compromised immune system."
Hypotrichosis,1380,Hypotrichosis is a condition characterized by the presence of less hair than normal on the scalp or body.
Thrombophilia,1381,Thrombophilia is a medical condition characterized by a higher propensity for blood clotting than normal.
Paraplegia,1382,"Paraplegia is a form of paralysis where there is loss of motor and sensory function in the lower half of the body, typically as a result of damage to the spinal cord."
Hypergammaglobulinemia,1383,"Hypergammaglobulinemia is a condition characterized by elevated levels of immunoglobulins, or antibodies, in the blood, which may be caused by chronic infections, autoimmune diseases, or malignancies."
Abetalipoproteinemia,1384,"Abetalipoproteinemia is a rare inherited disorder affecting fat absorption, characterized by low levels of fat and certain vitamins in the blood, leading to neurological and gastrointestinal symptoms."
"Epilepsies, Myoclonic",1385,"Myoclonic epilepsies are a group of neurological disorders characterized by sudden, brief, involuntary muscle jerks or twitches, often brought about by stimuli such as light, noise or physical actions."
Thrombocytosis,1386,"Thrombocytosis is a blood disorder characterized by an excessive production of platelets, often in response to an infection, disease, or other medical condition, which can potentially lead to blood-clotting issues."
Meningioma,1387,"Meningioma is a typically benign tumor that originates in the meninges, the membranes that surround the brain and spinal cord."
Vitamin A Deficiency,1388,"It is a nutritional condition characterized by low blood levels of vitamin A, which can lead to vision problems and reduced immune function."
Myopia,1389,"A condition characterized by nearsightedness, where objects at a distance appear blurry."
IgA Deficiency,1390,"It's a genetic condition that results in lower or absent levels of a type of antibody known as immunoglobulin A (IgA), making individuals more susceptible to infections, particularly in the mucous membranes in the respiratory and gastrointestinal tracts."
Torticollis,1391,Torticollis is a condition where the neck muscles contract involuntarily causing the head to twist or turn to one side.
Thyroid Hormone Resistance Syndrome,1392,"Thyroid Hormone Resistance Syndrome is a genetic disorder where the body's tissues are less sensitive or completely resistant to the effects of thyroid hormones, potentially causing a wide array of symptoms ranging from fatigue to attention deficit."
Sandhoff Disease,1393,"Sandhoff Disease is a rare genetic disorder, part of a group of diseases called lysosomal storage disorders, primarily affecting neurons in the brain and spinal cord and characterized by the progressive deterioration of physical and mental abilities."
Mucopolysaccharidosis III,1394,"Mucopolysaccharidosis III, also known as Sanfilippo syndrome, is a metabolic disorder characterized by the body's inability to properly break down long chains of sugar molecules, leading to severe neurological symptoms."
Striatonigral Degeneration,1395,"Striatonigral Degeneration is a progressive neurological condition characterized by gradual loss of cells in specific areas of the brain, leading to movement disorders including stiffness, tremors, and balance issues."
Alcohol Withdrawal Delirium,1396,Alcohol Withdrawal Delirium is a severe form of alcohol withdrawal that causes sudden and severe mental or nervous system changes.
Persian Gulf Syndrome,1397,"Persian Gulf Syndrome is a medical condition affecting war veterans and civilians who were physically present in the Persian Gulf War, characterized by symptoms including fatigue, muscle pain, cognitive problems, and insomnia."
"Insomnia, Fatal Familial",1398,"A rare sleep disorder characterized by progressive and ultimately fatal insomnia, typically inherited and initially presenting in middle age."
Hyperlysinemias,1399,Hyperlysinemias are a group of metabolic disorders characterized by elevated levels of the amino acid lysine in the blood and urine.
Wolf-Hirschhorn Syndrome,1400,"Wolf-Hirschhorn Syndrome is a genetic disorder characterized by distinctive facial features, growth delays, intellectual disabilities, and may also involve seizures, heart defects, and skeletal abnormalities."
Pachyonychia Congenita,1401,"Pachyonychia Congenita is a rare genetic skin disorder characterized by painful thickening of the nail beds, blisters, calluses, cysts, and white patches on the tongue and inside the cheeks."
Coffin-Lowry Syndrome,1402,"Coffin-Lowry Syndrome is a genetic disorder that leads to severe intellectual and physical disabilities, characterized by facial abnormalities, short stature, and tapering fingers."
Gastrinoma,1403,"Gastrinoma is a rare tumor, typically occurring in the pancreas or upper part of the small intestine, that secretes excessive levels of the hormone gastrin leading to severe stomach ulcers."
Heart Septal Defects,1404,"They are congenital abnormalities characterized by a hole in the septum that divides the heart's chambers, causing abnormal blood flow between them."
"Neoplasm, Residual",1405,"Residual neoplasm is a remaining or recurring growth of abnormal tissue, often after treatment has been performed."
"Cardiomyopathy, Restrictive",1406,"Restrictive cardiomyopathy is a form of heart disease where the walls of the heart chambers become stiff, but not thickened, making it harder for the heart to expand and fill with blood between heartbeats."
"Upper Extremity Deformities, Congenital",1407,"This is a condition present from birth that results in abnormal development or formation of the bones of the arm, wrist, and hand."
Eosinophilic Esophagitis,1408,"Eosinophilic Esophagitis is a chronic immune system disease characterized by high levels of white blood cells called eosinophils in the esophagus, leading to inflammation and difficulty swallowing."
Coronary Restenosis,1409,Coronary restenosis is the recurrence of narrowing of a coronary artery after it has been treated with angioplasty or stent placement.
Dextrocardia,1410,Dextrocardia is a rare congenital condition where the heart is located on the right side of the chest instead of the left.
Peutz-Jeghers Syndrome,1411,Peutz-Jeghers Syndrome is a genetic disorder characterized by the development of noncancerous growths called hamartomatous polyps in the gastrointestinal tract and a greatly increased risk of developing certain types of cancer.
alpha 1-Antitrypsin Deficiency,1412,It's a genetic disorder which results in lower levels of alpha1-antitrypsin protein leading to potential lung and liver problems.
Hypoalphalipoproteinemias,1413,"Hypoalphalipoproteinemias are disorders characterized by abnormally low levels of high-density lipoprotein (HDL) cholesterol in the blood, leading to increased risk of heart disease."
Lichenoid Eruptions,1414,"Lichenoid Eruptions refer to a group of skin conditions characterized by itchy, painful, red patches and plaque formation due to an inflammatory reaction in the skin."
Cherubism,1415,"Cherubism is a rare genetic disorder that results in excessive bone degradation in the lower part of the face and replacement with fibrous tissue, causing swollen or round cheeks and often an upward gaze."
Gyrate Atrophy,1416,"Gyrate Atrophy is a rare genetic disorder characterized by progressive vision loss, typically beginning in childhood, due to the deterioration of the retina."
Glycogen Storage Disease Type VIII,1417,"Glycogen Storage Disease Type VIII is a genetic disorder characterized by the body's inability to break down glycogen in the liver, resulting in issues like low blood sugar, muscle weakness, and enlargement of the liver."
Arachnodactyly,1418,"Arachnodactyly is a condition characterized by abnormally long and slender fingers and toes, often associated with other genetic disorders such as Marfan syndrome and Ehlers-Danlos syndrome."
Choroideremia,1419,"Choroideremia is a rare inherited disorder that causes progressive vision loss, ultimately leading to complete blindness."
Retinal Drusen,1420,"These are yellow deposits under the retina, usually associated with aging and macular degeneration."
Rectal Fistula,1421,"A rectal fistula is a condition characterized by an abnormal connection or channel between the rectum and the outside surface of the body, often leading to leakage of rectal contents onto the skin."
Amblyopia,1422,"Amblyopia, colloquially known as lazy eye, is a vision development disorder in which an eye fails to achieve normal visual acuity, even with prescription eyewear or contact lenses."
Anisometropia,1423,"Anisometropia is a vision condition characterized by a significant difference in the refractive powers of the eyes, often leading to impaired binocular vision and amblyopia."
Lafora Disease,1424,"Lafora Disease is a rare, inherited neurodegenerative disorder characterized by epilepsy, cognitive decline and loss of physical function, typically starting in the late childhood or early adolescence."
Leber Congenital Amaurosis,1425,"It is a rare inherited eye disorder that primarily affects the retina, leading to severe vision loss at a young age."
Smith-Magenis Syndrome,1426,"Smith-Magenis Syndrome is a developmental disorder characterized by multiple congenital anomalies, intellectual disability, behavior problems, and a distinctive pattern of physical features including abnormal facial features, sleep disturbances, and a propensity towards obesity."
Glycogen Storage Disease Type IIb,1427,"Glycogen Storage Disease Type IIb is a disorder characterized by an enzyme deficiency leading to the accumulation of glycogen, a form of stored glucose, in certain organs and tissues, especially the liver, leading to unusual physical traits or developmental delay."
Sialic Acid Storage Disease,1428,"Sialic Acid Storage Disease is a rare metabolical disorder, characterized by an abnormal accumulation of sialic acid in the body's cells and tissues, leading to physical development problems and potential neurological impairment."
